date,rainfall,average flow,max flow,min flow,fe flow
1/1/2015,0,10.54,14.23,3.82,9.32
1/1/2016,0,11.79,13.08,9.28,10.93
1/1/2017,0.14,12.64,18.46,8.56,11.04
1/1/2018,0,13.06,16.2,7.61,12.4
1/1/2019,0,11.57,16.52,6.98,10.83
1/1/2020,0.06,12.99,17.22,7.74,12.42
1/1/2021,0.63,16.76,29.49,7.54,16.13
1/1/2022,0.02,12.74,17.66,7.65,11.71
1/1/2023,0,15.68,19.31,11.16,12.55
1/1/2024,0,12.23,16.46,3.26,11.16
1/1/2025,,,,,
1/10/2015,0.09,11.31,14.53,7.31,9.95
1/10/2016,0,11.35,14.6,8.97,10.45
1/10/2017,0.3,14.68,27.65,9.61,12.86
1/10/2018,0.29,14.45,30.39,7.34,12.66
1/10/2019,0.16,14.77,23.84,10.03,13.7
1/10/2020,1.23,21.63,47.44,4.66,18.7
1/10/2021,0.12,14.54,19.59,8.82,13.83
1/10/2022,0.27,18.82,28.99,11.77,17.31
1/10/2023,0.02,15.88,33.54,5.78,13.78
1/10/2024,0.1,16.8,29.61,5.06,15.46
1/10/2025,,,,,
1/11/2015,0.08,11.8,19.73,6.42,10.86
1/11/2016,0.22,11.53,17.81,4.32,10.65
1/11/2017,0,13.77,17.76,10.72,11.76
1/11/2018,1.85,27.33,60,8.48,23.99
1/11/2019,0,12.58,17.95,7.46,12.22
1/11/2020,0.23,19.98,31.53,10.47,18.92
1/11/2021,1.53,21.15,36.26,7.07,20.25
1/11/2022,1.12,22.17,36.33,11.87,20.42
1/11/2023,0.21,13.77,20.34,7.22,11.61
1/11/2024,0.04,14.66,32.05,8.76,13.35
1/11/2025,,,,,
1/12/2015,0,11.23,15.19,8.92,10.25
1/12/2016,0.77,14.85,26.89,10.34,14.04
1/12/2017,0,13.3,17.13,10.35,11.6
1/12/2018,0.06,19.76,26.17,4.49,18.31
1/12/2019,0,12.27,26.97,5.26,11.72
1/12/2020,0.49,19.69,31.4,10.87,18.41
1/12/2021,3.32,45.05,62.88,29.97,40.96
1/12/2022,0.62,27.61,35.41,21.71,26.19
1/12/2023,0.41,15.47,30.09,6.16,14.38
1/12/2024,0,13.9,19.3,1.54,12.56
1/12/2025,,,,,
1/13/2015,0.01,11.08,15.09,6.1,10.1
1/13/2016,0.13,13.84,19.43,8.65,12.73
1/13/2017,0,12.69,16.49,9.85,11.12
1/13/2018,0.07,18.26,31.6,11.68,15.05
1/13/2019,0.01,11.81,16.69,6.14,11.17
1/13/2020,0.01,15.46,30.12,4.96,15.05
1/13/2021,0.03,30.98,60.37,23.6,31.23
1/13/2022,0.37,22.34,30.31,10.32,20.3
1/13/2023,0.38,16.37,31.81,10.7,14.23
1/13/2024,0,13.62,19.84,7.88,12.32
1/13/2025,,,,,
1/14/2015,0,10.8,14.79,5.72,9.82
1/14/2016,0,12.09,18.01,7.36,10.84
1/14/2017,0,12.42,16.22,9.59,10.89
1/14/2018,0,18.11,24.76,9.74,13.91
1/14/2019,0,11.64,23.2,4.71,11.05
1/14/2020,0.07,15,28.06,5.58,13.2
1/14/2021,0,21.22,26.55,11.94,19.79
1/14/2022,0,17.81,26.08,10.15,16.61
1/14/2023,0.1,14.65,19.82,8.04,13.36
1/14/2024,0,13.06,26.54,5,11.9
1/14/2025,,,,,
1/15/2015,0.51,13.59,25.79,9.27,12.53
1/15/2016,0.22,13.07,26,9.91,12.21
1/15/2017,0,12.21,15.81,8.72,10.78
1/15/2018,0.03,15.62,33.26,5.07,13.68
1/15/2019,0,11,29.05,0,10.28
1/15/2020,0.15,14.76,28.48,6.34,13.17
1/15/2021,0.01,17.96,27.19,6.06,15.98
1/15/2022,0,16.49,26.41,10.39,15.49
1/15/2023,0.46,16.63,30.88,6.98,15.07
1/15/2024,0,13.4,19.31,2.6,12.22
1/15/2025,,,,,
1/16/2015,0.04,11.55,24.96,7.05,10.22
1/16/2016,0.9,16.68,26.41,11.12,15.97
1/16/2017,0,12.87,16.44,9.12,11.3
1/16/2018,0.01,13.92,19.06,7.6,13.34
1/16/2019,0.16,11.09,19.81,1.36,9.23
1/16/2020,0.05,13.24,17.9,5.22,12.03
1/16/2021,0.01,17.23,27.72,11.41,15.02
1/16/2022,0,15.65,18.23,9.63,14.7
1/16/2023,0,15.07,21.82,0.7,13.05
1/16/2024,0.04,12.71,16.78,4.1,11.71
1/16/2025,,,,,
1/17/2015,1.44,18.56,42.27,5.36,16.3
1/17/2016,0.44,15.72,27.21,9.21,15.03
1/17/2017,1.19,17.82,33.99,9.4,15.91
1/17/2018,0.29,14.63,35,0,10.8
1/17/2019,0.3,11.72,18.86,5.79,10.07
1/17/2020,0.11,13.47,19.26,5.17,12
1/17/2021,0.06,15.77,28.46,5.45,13.68
1/17/2022,0,15.4,18.2,4.14,14.4
1/17/2023,0.04,15.68,24.44,7.53,13.63
1/17/2024,0.29,13.32,26.72,3.55,12.15
1/17/2025,,,,,
1/18/2015,0.15,16.13,28.81,10.71,15.12
1/18/2016,0.09,14.19,19.3,6.64,13.44
1/18/2017,1.34,22.75,35.79,8.29,20.49
1/18/2018,0.53,16.84,33.55,10.03,16.03
1/18/2019,1.1,16.02,30.29,6.31,17.01
1/18/2020,0.25,13.97,19.07,8.93,12.56
1/18/2021,0,14.41,19.16,9.65,12.65
1/18/2022,0.01,14.48,23.59,0.64,13.48
1/18/2023,0.14,13.12,19.78,5.52,12.82
1/18/2024,1.11,17.7,29.06,0,16.24
1/18/2025,,,,,
1/19/2015,0.04,13.66,19.5,9.05,11.81
1/19/2016,0.41,14.75,27.65,5.18,14.34
1/19/2017,0.15,17.43,28.95,11.5,15.57
1/19/2018,0.13,16.71,25.7,9.23,13.34
1/19/2019,0.23,14.77,29.79,8.9,14.2
1/19/2020,0.04,12.86,19.82,6.95,11.41
1/19/2021,0,14.27,20.7,4.67,12.55
1/19/2022,0.03,14.11,17.24,10.72,13
1/19/2023,0,13.21,19.95,4.65,12.79
1/19/2024,0.08,15.59,30.11,3.06,14.04
1/19/2025,,,,,
1/2/2015,0.02,10.52,13.7,7.04,9.08
1/2/2016,0,11.97,14.64,8.11,11.05
1/2/2017,0,12.85,23.98,5.82,11.11
1/2/2018,0,14.63,26.85,10.19,13.76
1/2/2019,0,11.83,25.51,6.35,10.91
1/2/2020,0.69,14.88,27.74,6.72,13.99
1/2/2021,2.85,33.47,58.28,11.04,30.61
1/2/2022,2.12,2.12,60.3,4.15,17.56
1/2/2023,0.01,16.37,21.62,10.23,12.94
1/2/2024,0.34,12.65,28.72,5.81,11.93
1/2/2025,,,,,
1/20/2015,0,13.05,16.62,9.92,11.49
1/20/2016,0.69,15.87,31.4,8.24,15.04
1/20/2017,0.02,15.96,29.81,10.95,14.08
1/20/2018,0.15,15.88,33.33,3.75,13.64
1/20/2019,0,12.88,17.91,8.17,12.32
1/20/2020,0,13.22,30.01,5.84,11.41
1/20/2021,0.01,13.87,26.61,7.11,12.23
1/20/2022,0.22,14.97,21.6,9.88,13.74
1/20/2023,0,13.07,16.6,9.97,11.45
1/20/2024,0.31,15.78,30.21,4.23,13.77
1/20/2025,,,,,
1/21/2015,0.01,12.69,20.04,6.35,11.18
1/21/2016,2.03,31.8,51.74,22.33,29.47
1/21/2017,0.17,15.13,20.43,11.01,13.32
1/21/2018,0.22,15.06,31.44,8.6,13.79
1/21/2019,0,12.67,17.2,5.91,11.9
1/21/2020,0.46,15.04,31.41,7.87,12.97
1/21/2021,0.14,13.84,16.77,7.37,12.27
